,title,address,website,phone_number
215,Greggs,"143 The Strand, Westminster, London, WC2R 1JA",http://www.greggs.co.uk,020 7240 5396
216,Caffe Nero,"7b Kingsway, London, WC2B 6XG",http://www.caffenero.co.uk,020 7240 2471
217,Fernandez & Wells,"1-3 Denmark Street, Charing Cross, LONDON, WC2H 8LP",http://www.fernandezandwells.com,020 3302 9799
218,Presotea,"80 Dean Street, London, W1D 3SL",,020 7287 0627
219,The Breakfast Club,"11 Berwick Street, London, W1F 0PL",https://thebreakfastclubcafes.com/,020 3727 5543
220,Lick,"55 Greek St, London, W1D 3DT",http://www.lick-gelato.com,020 8617 0042
221,Pret a Manger,"55 Frith St, London, W1D 4SJ",https://www.pret.co.uk/en-GB,020 7932 5335
222,Flat White,"17 Berwick St, London, W1F 0PT",http://www.flatwhitecafe.com/,020 7734 0370
223,Cafe Ritazza,"Malta House, 36-38, Piccadilly, London, W1J 0DP",http://www.ritazza.com,020 7494 9665
224,Caffe Concerto,"79-81 Regent St, London, W1B 4EG",http://www.caffeconcerto.co.uk?utm_source=yell&utm_medium=refferal&utm_campaign=yell,020 7494 6842
